(*)Commodity Code,(*)Commodity Name,Commodity Barcode,Sku Code,Sku Name,Tags,Description,Commodity Type,Unit,(*)Commodity Group,Sub group,Profit rate(%),Purchase Price,(*)Sale price,Tax1,Tax2,Origin,Style,Model,Size,Color,Warranty ( month ),Minimum inventory
1,Boy Hair Cut - Up to 7 Years,,,,,,,,Services,,,,486,GST 5%,,,,,,,,
2,Hair Cut- Men - Stylist,,,,,,,,Services,,,,600,GST 5%,,,,,,,,
3,Hair Cut- Men - Senior Stylist,,,,,,,,Services,,,,695,GST 5%,,,,,,,,
4,Hair Cut- Men - Top Stylist,,,,,,,,Services,,,,810,GST 5%,,,,,,,,
5,Hair Cut- Men - Creative Director,,,,,,,,Services,,,,1019,GST 5%,,,,,,,,
6,Hair Styling - Men,,,,,,,,Services,,,,486,GST 5%,,,,,,,,
7,Hair Cut- Women - Stylist,,,,,,,,Services,,,,760,GST 5%,,,,,,,,
8,Hair Cut- Women - Senior Stylist,,,,,,,,Services,,,,850,GST 5%,,,,,,,,
9,Hair Cut- Women - Top Stylist,,,,,,,,Services,,,,1019,GST 5%,,,,,,,,
10,Hair Cut- Women - Creative Director,,,,,,,,Services,,,,1350,GST 5%,,,,,,,,
11,Girl Hair Cut - Up to 7 Years,,,,,,,,Services,,,,550,GST 5%,,,,,,,,
12,Fringe Cut,,,,,,,,Services,,,,350,GST 5%,,,,,,,,
13,Wash & Blast Dry,,,,,,,,Services,,,,600,GST 5%,,,,,,,,
14,Straight Blow dry,,,,,,,,Services,,,,800,GST 5%,,,,,,,,
15,In Curls/Out Curls,,,,,,,,Services,,,,1000,GST 5%,,,,,,,,
16,Blow dry - Extra Long,,,,,,,,Services,,,,1200,GST 5%,,,,,,,,
17,Zero Trim,,,,,,,,Services,,,,105,GST 5%,,,,,,,,
18,Beard Shave,,,,,,,,Services,,,,219,GST 5%,,,,,,,,
19,Beard Design,,,,,,,,Services,,,,381,GST 5%,,,,,,,,
20,Beard Shape Up,,,,,,,,Services,,,,219,GST 5%,,,,,,,,
21,Head Shave ,,,,,,,,Services,,,,429,GST 5%,,,,,,,,
22,Tint Re-Growth,,,,,,,,Services,,,,1600,GST 5%,,,,,,,,
23,Global Colour Men,,,,,,,,Services,,,,1500,GST 5%,,,,,,,,
24,Global Colour Women,,,,,,,,Services,,,,2500,GST 5%,,,,,,,,
25,Men's Cap Highlight,,,,,,,,Services,,,,2000,GST 5%,,,,,,,,
